SCC,num,specise,PSO4,PNO3,PEC,POC,PMFINE
50410740,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50410764,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50410780,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50482001,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50482002,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50482599,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
62540001,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
62540020,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
62582501,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
62582502,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
63125012,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
63131034,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
63134026,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
64130001,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
64130011,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
64130210,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
64130211,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
64132001,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
64132010,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
64420033,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
64450035,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
64450040,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
64520010,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
64520023,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
64520031,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
64520040,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
64521021,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
64580001,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
64610010,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
64610020,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
64610021,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
64610101,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
64610331,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
